model,fold,endpoint,seconds,n_train,n_test
ecfp4_random_forest,2,CYP1A2_pIC50_direct_inhibition,0.6156342149997727,1371,41
ecfp4_lightgbm,2,CYP1A2_pIC50_direct_inhibition,0.6661660900003881,1371,41
endpoint_mean,2,CYP2C9_pIC50_direct_inhibition,0.0005848619998687354,1257,28
endpoint_median,2,CYP2C9_pIC50_direct_inhibition,0.0003679960000226856,1257,28
ecfp4_knn,2,CYP2C9_pIC50_direct_inhibition,0.007471902999895974,1257,28
ecfp4_random_forest,2,CYP2C9_pIC50_direct_inhibition,0.6343398210001396,1257,28
ecfp4_lightgbm,2,CYP2C9_pIC50_direct_inhibition,0.3676739910001743,1257,28
endpoint_mean,2,CYP2D6_pIC50_direct_inhibition,0.0006359989997690718,1451,42
endpoint_median,2,CYP2D6_pIC50_direct_inhibition,0.0003509590001158358,1451,42
ecfp4_knn,2,CYP2D6_pIC50_direct_inhibition,0.010811551999722724,1451,42
ecfp4_random_forest,2,CYP2D6_pIC50_direct_inhibition,0.7874698929999795,1451,42
ecfp4_lightgbm,2,CYP2D6_pIC50_direct_inhibition,0.3735893749999377,1451,42
endpoint_mean,2,CYP3A4_pIC50_direct_inhibition,0.001106939999772294,2264,71
endpoint_median,2,CYP3A4_pIC50_direct_inhibition,0.0008035020000534132,2264,71
ecfp4_knn,2,CYP3A4_pIC50_direct_inhibition,0.029471144000126515,2264,71
ecfp4_random_forest,2,CYP3A4_pIC50_direct_inhibition,0.9809782309998809,2264,71
ecfp4_lightgbm,2,CYP3A4_pIC50_direct_inhibition,0.6563005040002281,2264,71
endpoint_mean,2,CYP3A4_is_TDI,0.0011769660000027216,3497,87
endpoint_median,2,CYP3A4_is_TDI,0.000805705999937345,3497,87
ecfp4_knn,2,CYP3A4_is_TDI,0.04673600300020553,3497,87
ecfp4_random_forest,2,CYP3A4_is_TDI,2.1135787930002152,3497,87
ecfp4_lightgbm,2,CYP3A4_is_TDI,0.6154479799997716,3497,87
endpoint_mean,2,CYP2D6_is_TDI,0.0006562399998983892,1455,42
endpoint_median,2,CYP2D6_is_TDI,0.00043543699985093554,1455,42
ecfp4_knn,2,CYP2D6_is_TDI,0.011554383000202506,1455,42
ecfp4_random_forest,2,CYP2D6_is_TDI,0.8692927090000921,1455,42
ecfp4_lightgbm,2,CYP2D6_is_TDI,0.3548897300001954,1455,42
endpoint_mean,3,CYP1A2_pIC50_direct_inhibition,0.0006215879998308083,1373,39
endpoint_median,3,CYP1A2_pIC50_direct_inhibition,0.0006615379998038406,1373,39
ecfp4_knn,3,CYP1A2_pIC50_direct_inhibition,0.010275923999870429,1373,39
ecfp4_random_forest,3,CYP1A2_pIC50_direct_inhibition,0.5965286599998763,1373,39
ecfp4_lightgbm,3,CYP1A2_pIC50_direct_inhibition,0.3117446659998677,1373,39
endpoint_mean,3,CYP2C9_pIC50_direct_inhibition,0.0005581719997280743,1250,35
endpoint_median,3,CYP2C9_pIC50_direct_inhibition,0.0003011439998772403,1250,35
ecfp4_knn,3,CYP2C9_pIC50_direct_inhibition,0.007792368000082206,1250,35
ecfp4_random_forest,3,CYP2C9_pIC50_direct_inhibition,0.6451575879996199,1250,35
ecfp4_lightgbm,3,CYP2C9_pIC50_direct_inhibition,0.3144414200000938,1250,35
endpoint_mean,3,CYP2D6_pIC50_direct_inhibition,0.0006014579998918634,1456,37
endpoint_median,3,CYP2D6_pIC50_direct_inhibition,0.0003175390002070344,1456,37
ecfp4_knn,3,CYP2D6_pIC50_direct_inhibition,0.010658330999831378,1456,37
ecfp4_random_forest,3,CYP2D6_pIC50_direct_inhibition,0.7593225699997674,1456,37
ecfp4_lightgbm,3,CYP2D6_pIC50_direct_inhibition,0.36956460700002935,1456,37
endpoint_mean,3,CYP3A4_pIC50_direct_inhibition,0.0012468909999370226,2264,71
endpoint_median,3,CYP3A4_pIC50_direct_inhibition,0.0010004690002460848,2264,71
ecfp4_knn,3,CYP3A4_pIC50_direct_inhibition,0.02637987099979,2264,71
ecfp4_random_forest,3,CYP3A4_pIC50_direct_inhibition,1.015417379000155,2264,71
ecfp4_lightgbm,3,CYP3A4_pIC50_direct_inhibition,0.7347560309999608,2264,71
endpoint_mean,3,CYP3A4_is_TDI,0.0011891949998243945,3497,87
endpoint_median,3,CYP3A4_is_TDI,0.0007747179997750209,3497,87
ecfp4_knn,3,CYP3A4_is_TDI,0.05107813399990846,3497,87
ecfp4_random_forest,3,CYP3A4_is_TDI,2.2050192860001516,3497,87
ecfp4_lightgbm,3,CYP3A4_is_TDI,0.7106414219997532,3497,87
endpoint_mean,3,CYP2D6_is_TDI,0.0006731149996994645,1460,37
endpoint_median,3,CYP2D6_is_TDI,0.0004884370000581839,1460,37
ecfp4_knn,3,CYP2D6_is_TDI,0.010839595000106783,1460,37
ecfp4_random_forest,3,CYP2D6_is_TDI,1.2711387730000752,1460,37
ecfp4_lightgbm,3,CYP2D6_is_TDI,0.3907604649998575,1460,37
endpoint_mean,4,CYP1A2_pIC50_direct_inhibition,0.0006449630000133766,1390,22
endpoint_median,4,CYP1A2_pIC50_direct_inhibition,0.00036079399978916626,1390,22
ecfp4_knn,4,CYP1A2_pIC50_direct_inhibition,0.006813259999944421,1390,22
ecfp4_random_forest,4,CYP1A2_pIC50_direct_inhibition,0.7746236830002999,1390,22
ecfp4_lightgbm,4,CYP1A2_pIC50_direct_inhibition,0.43752192300007664,1390,22
endpoint_mean,4,CYP2C9_pIC50_direct_inhibition,0.0005923940002503514,1254,31
endpoint_median,4,CYP2C9_pIC50_direct_inhibition,0.0003357569999025145,1254,31
ecfp4_knn,4,CYP2C9_pIC50_direct_inhibition,0.0075525759998527064,1254,31
ecfp4_random_forest,4,CYP2C9_pIC50_direct_inhibition,0.741852353000013,1254,31
ecfp4_lightgbm,4,CYP2C9_pIC50_direct_inhibition,0.3373360989999128,1254,31
endpoint_mean,4,CYP2D6_pIC50_direct_inhibition,0.0007732070002930413,1468,25
endpoint_median,4,CYP2D6_pIC50_direct_inhibition,0.00039985300008993363,1468,25
ecfp4_knn,4,CYP2D6_pIC50_direct_inhibition,0.008767147000071418,1468,25
ecfp4_random_forest,4,CYP2D6_pIC50_direct_inhibition,1.1537729510000645,1468,25
ecfp4_lightgbm,4,CYP2D6_pIC50_direct_inhibition,0.48212674500018693,1468,25
endpoint_mean,4,CYP3A4_pIC50_direct_inhibition,0.0012346120001893723,2249,86
endpoint_median,4,CYP3A4_pIC50_direct_inhibition,0.0007978339999681339,2249,86
ecfp4_knn,4,CYP3A4_pIC50_direct_inhibition,0.03184702999988076,2249,86
ecfp4_random_forest,4,CYP3A4_pIC50_direct_inhibition,1.2690332480001416,2249,86
ecfp4_lightgbm,4,CYP3A4_pIC50_direct_inhibition,0.9595194619996619,2249,86
endpoint_mean,4,CYP3A4_is_TDI,0.0012955550000697258,3475,109
endpoint_median,4,CYP3A4_is_TDI,0.0009365530004288303,3475,109
ecfp4_knn,4,CYP3A4_is_TDI,0.06582423700001527,3475,109
ecfp4_random_forest,4,CYP3A4_is_TDI,2.3719982729999174,3475,109
ecfp4_lightgbm,4,CYP3A4_is_TDI,0.716710852000233,3475,109
endpoint_mean,4,CYP2D6_is_TDI,0.000651192999612249,1472,25
endpoint_median,4,CYP2D6_is_TDI,0.0003314900000077614,1472,25
ecfp4_knn,4,CYP2D6_is_TDI,0.0072659019997445284,1472,25
ecfp4_random_forest,4,CYP2D6_is_TDI,1.0952247459999853,1472,25
ecfp4_lightgbm,4,CYP2D6_is_TDI,0.6051346680001188,1472,25
