model,scope,fold,task,endpoint,metric,value,n,positives_true,positives_predicted
endpoint_median,fold,0.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.9999045048212329,43,,
endpoint_median,fold,0.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.9749829295429584,28,,
endpoint_median,fold,0.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.9912630005806259,38,,
endpoint_median,fold,0.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.0932226037876613,74,,
ecfp4_knn,fold,1.0,classification,CYP2D6_is_TDI,MCC,0.04490132550669373,35,7.0,4.0
ecfp4_knn,fold,1.0,classification,CYP3A4_is_TDI,MCC,0.18972221763801836,90,28.0,16.0
ecfp4_knn,fold,1.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,1.2866085220417454,36,,
ecfp4_knn,fold,1.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.332811464680365,37,,
ecfp4_knn,fold,1.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.0110328877700692,35,,
ecfp4_knn,fold,1.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.800396747636471,79,,
ecfp4_lightgbm,fold,1.0,classification,CYP2D6_is_TDI,MCC,-0.1796053020267749,35,7.0,4.0
ecfp4_lightgbm,fold,1.0,classification,CYP3A4_is_TDI,MCC,0.11866359447004608,90,28.0,28.0
ecfp4_lightgbm,fold,1.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.7912672158583262,36,,
ecfp4_lightgbm,fold,1.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.951015390410891,37,,
ecfp4_lightgbm,fold,1.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.7191035483380401,35,,
ecfp4_lightgbm,fold,1.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.5612143749508355,79,,
ecfp4_random_forest,fold,1.0,classification,CYP2D6_is_TDI,MCC,-0.08574929257125442,35,7.0,1.0
ecfp4_random_forest,fold,1.0,classification,CYP3A4_is_TDI,MCC,0.1090460762305419,90,28.0,6.0
ecfp4_random_forest,fold,1.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.7147904747224937,36,,
ecfp4_random_forest,fold,1.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.9925546352800141,37,,
ecfp4_random_forest,fold,1.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.7349519093719775,35,,
ecfp4_random_forest,fold,1.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.7746825777445692,79,,
endpoint_mean,fold,1.0,classification,CYP2D6_is_TDI,MCC,0.0,35,7.0,0.0
endpoint_mean,fold,1.0,classification,CYP3A4_is_TDI,MCC,0.0,90,28.0,0.0
endpoint_mean,fold,1.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,1.0452243827946694,36,,
endpoint_mean,fold,1.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.131979399870198,37,,
endpoint_mean,fold,1.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.0313042212071766,35,,
endpoint_mean,fold,1.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.0909177938164336,79,,
endpoint_median,fold,1.0,classification,CYP2D6_is_TDI,MCC,0.0,35,7.0,0.0
endpoint_median,fold,1.0,classification,CYP3A4_is_TDI,MCC,0.0,90,28.0,0.0
endpoint_median,fold,1.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.9643425179100092,36,,
endpoint_median,fold,1.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.0782706872435632,37,,
endpoint_median,fold,1.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.0515622894471808,35,,
endpoint_median,fold,1.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.0152514670063395,79,,
ecfp4_knn,fold,2.0,classification,CYP2D6_is_TDI,MCC,0.38165619466295686,42,5.0,4.0
ecfp4_knn,fold,2.0,classification,CYP3A4_is_TDI,MCC,-0.04604374107985615,87,14.0,9.0
ecfp4_knn,fold,2.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.9208728128789374,41,,
ecfp4_knn,fold,2.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.0427460924156655,28,,
ecfp4_knn,fold,2.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.1314756751477917,42,,
ecfp4_knn,fold,2.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.8471533740596886,71,,
ecfp4_lightgbm,fold,2.0,classification,CYP2D6_is_TDI,MCC,0.4274373669939289,42,5.0,7.0
ecfp4_lightgbm,fold,2.0,classification,CYP3A4_is_TDI,MCC,0.2984952436679474,87,14.0,19.0
ecfp4_lightgbm,fold,2.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.7554762588406884,41,,
ecfp4_lightgbm,fold,2.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.9507816518832046,28,,
ecfp4_lightgbm,fold,2.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.012794433253387,42,,
ecfp4_lightgbm,fold,2.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.5493198732485366,71,,
ecfp4_random_forest,fold,2.0,classification,CYP2D6_is_TDI,MCC,-0.08219949365267865,42,5.0,2.0
ecfp4_random_forest,fold,2.0,classification,CYP3A4_is_TDI,MCC,0.2511479767507418,87,14.0,6.0
ecfp4_random_forest,fold,2.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.7993318290767901,41,,
ecfp4_random_forest,fold,2.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.0554941050773272,28,,
ecfp4_random_forest,fold,2.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.0220056554970625,42,,
ecfp4_random_forest,fold,2.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.7289327815404297,71,,
endpoint_mean,fold,2.0,classification,CYP2D6_is_TDI,MCC,0.0,42,5.0,0.0
endpoint_mean,fold,2.0,classification,CYP3A4_is_TDI,MCC,0.0,87,14.0,0.0
endpoint_mean,fold,2.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.9897721781704466,41,,
endpoint_mean,fold,2.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.3919456394766447,28,,
endpoint_mean,fold,2.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.1441834842062593,42,,
endpoint_mean,fold,2.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.0990788626990633,71,,
endpoint_median,fold,2.0,classification,CYP2D6_is_TDI,MCC,0.0,42,5.0,0.0
endpoint_median,fold,2.0,classification,CYP3A4_is_TDI,MCC,0.0,87,14.0,0.0
endpoint_median,fold,2.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.9700084998964138,41,,
endpoint_median,fold,2.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.3329130380607164,28,,
endpoint_median,fold,2.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.1958098473718446,42,,
endpoint_median,fold,2.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.005283677699614,71,,
ecfp4_knn,fold,3.0,classification,CYP2D6_is_TDI,MCC,-0.06588078458684124,37,5.0,1.0
ecfp4_knn,fold,3.0,classification,CYP3A4_is_TDI,MCC,0.26722489355064827,87,36.0,26.0
ecfp4_knn,fold,3.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,1.0399120434375029,39,,
ecfp4_knn,fold,3.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.0629504465806785,35,,
ecfp4_knn,fold,3.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.8405159466176916,37,,
ecfp4_knn,fold,3.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.9920609437561232,71,,
ecfp4_lightgbm,fold,3.0,classification,CYP2D6_is_TDI,MCC,0.37157527073014673,37,5.0,4.0
ecfp4_lightgbm,fold,3.0,classification,CYP3A4_is_TDI,MCC,0.1426399774138396,87,36.0,27.0
ecfp4_lightgbm,fold,3.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.805619110461065,39,,
ecfp4_lightgbm,fold,3.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.9109049501499581,35,,
ecfp4_lightgbm,fold,3.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.8735913194719922,37,,
ecfp4_lightgbm,fold,3.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.9035474174506826,71,,
ecfp4_random_forest,fold,3.0,classification,CYP2D6_is_TDI,MCC,-0.06588078458684124,37,5.0,1.0
ecfp4_random_forest,fold,3.0,classification,CYP3A4_is_TDI,MCC,0.20941975447057498,87,36.0,10.0
ecfp4_random_forest,fold,3.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.8248339174009438,39,,
ecfp4_random_forest,fold,3.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.0253879159925086,35,,
ecfp4_random_forest,fold,3.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.8622287860201134,37,,
ecfp4_random_forest,fold,3.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.1041623018687763,71,,
endpoint_mean,fold,3.0,classification,CYP2D6_is_TDI,MCC,0.0,37,5.0,0.0
endpoint_mean,fold,3.0,classification,CYP3A4_is_TDI,MCC,0.0,87,36.0,0.0
endpoint_mean,fold,3.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,1.016435771318776,39,,
endpoint_mean,fold,3.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.0429728986424114,35,,
endpoint_mean,fold,3.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.0208569745215514,37,,
endpoint_mean,fold,3.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.3222180691362244,71,,
endpoint_median,fold,3.0,classification,CYP2D6_is_TDI,MCC,0.0,37,5.0,0.0
endpoint_median,fold,3.0,classification,CYP3A4_is_TDI,MCC,0.0,87,36.0,0.0
endpoint_median,fold,3.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.9659444346200239,39,,
endpoint_median,fold,3.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.022572637454659,35,,
endpoint_median,fold,3.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.0372317796833064,37,,
endpoint_median,fold,3.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.1755211901451612,71,,
ecfp4_knn,fold,4.0,classification,CYP2D6_is_TDI,MCC,0.408248290463863,25,5.0,1.0
ecfp4_knn,fold,4.0,classification,CYP3A4_is_TDI,MCC,0.4868030541023113,109,30.0,23.0
ecfp4_knn,fold,4.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.8811142771377599,22,,
ecfp4_knn,fold,4.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.931262718506042,31,,
ecfp4_knn,fold,4.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.034019874006465,25,,
ecfp4_knn,fold,4.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.7614024778415468,86,,
ecfp4_lightgbm,fold,4.0,classification,CYP2D6_is_TDI,MCC,0.3273268353539886,25,5.0,4.0
ecfp4_lightgbm,fold,4.0,classification,CYP3A4_is_TDI,MCC,0.23508800240804217,109,30.0,23.0
ecfp4_lightgbm,fold,4.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.7266904882057369,22,,
ecfp4_lightgbm,fold,4.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.4687690292119448,31,,
ecfp4_lightgbm,fold,4.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.8752493742461461,25,,
ecfp4_lightgbm,fold,4.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.6790860982417997,86,,
ecfp4_random_forest,fold,4.0,classification,CYP2D6_is_TDI,MCC,0.0,25,5.0,0.0
ecfp4_random_forest,fold,4.0,classification,CYP3A4_is_TDI,MCC,0.2629273696056835,109,30.0,9.0
