split_scheme,model,scope,fold,task,endpoint,metric,value,n,positives_true,positives_predicted
murcko_scaffold,endpoint_median,pooled,,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.040692420282372,177,,
murcko_scaffold,endpoint_median,pooled,,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.0720794315151225,381,,
murcko_scaffold,ecfp4_knn,fold,0.0,classification,CYP2D6_is_TDI,MCC,0.23904572186687875,33,6.0,5.0
murcko_scaffold,ecfp4_knn,fold,0.0,classification,CYP3A4_is_TDI,MCC,0.24158450127419107,90,27.0,17.0
murcko_scaffold,ecfp4_knn,fold,0.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,1.1161796066749716,29,,
murcko_scaffold,ecfp4_knn,fold,0.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.505634979271096,28,,
murcko_scaffold,ecfp4_knn,fold,0.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.9266419421540399,33,,
murcko_scaffold,ecfp4_knn,fold,0.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.0628072959992776,75,,
murcko_scaffold,ecfp4_lightgbm,fold,0.0,classification,CYP2D6_is_TDI,MCC,0.33195686496194077,33,6.0,7.0
murcko_scaffold,ecfp4_lightgbm,fold,0.0,classification,CYP3A4_is_TDI,MCC,0.2735238032346739,90,27.0,32.0
murcko_scaffold,ecfp4_lightgbm,fold,0.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.8288248806765092,29,,
murcko_scaffold,ecfp4_lightgbm,fold,0.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.0316728917241307,28,,
murcko_scaffold,ecfp4_lightgbm,fold,0.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.9464842743495944,33,,
murcko_scaffold,ecfp4_lightgbm,fold,0.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.6141518202506809,75,,
murcko_scaffold,ecfp4_random_forest,fold,0.0,classification,CYP2D6_is_TDI,MCC,0.20953951903123738,33,6.0,2.0
murcko_scaffold,ecfp4_random_forest,fold,0.0,classification,CYP3A4_is_TDI,MCC,0.3148909994873157,90,27.0,19.0
murcko_scaffold,ecfp4_random_forest,fold,0.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.9430057820737769,29,,
murcko_scaffold,ecfp4_random_forest,fold,0.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.0730507836300067,28,,
murcko_scaffold,ecfp4_random_forest,fold,0.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.8950434033491002,33,,
murcko_scaffold,ecfp4_random_forest,fold,0.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.8008436013190189,75,,
murcko_scaffold,endpoint_mean,fold,0.0,classification,CYP2D6_is_TDI,MCC,0.0,33,6.0,0.0
murcko_scaffold,endpoint_mean,fold,0.0,classification,CYP3A4_is_TDI,MCC,0.0,90,27.0,0.0
murcko_scaffold,endpoint_mean,fold,0.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,1.2057157182041487,29,,
murcko_scaffold,endpoint_mean,fold,0.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.177942887236714,28,,
murcko_scaffold,endpoint_mean,fold,0.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.002970701294937,33,,
murcko_scaffold,endpoint_mean,fold,0.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.199167015114103,75,,
murcko_scaffold,endpoint_median,fold,0.0,classification,CYP2D6_is_TDI,MCC,0.0,33,6.0,0.0
murcko_scaffold,endpoint_median,fold,0.0,classification,CYP3A4_is_TDI,MCC,0.0,90,27.0,0.0
murcko_scaffold,endpoint_median,fold,0.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,1.041947700965142,29,,
murcko_scaffold,endpoint_median,fold,0.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.1256198566431983,28,,
murcko_scaffold,endpoint_median,fold,0.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.0170916811987025,33,,
murcko_scaffold,endpoint_median,fold,0.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.0898380423395067,75,,
murcko_scaffold,ecfp4_knn,fold,1.0,classification,CYP2D6_is_TDI,MCC,0.17712297710801908,39,5.0,3.0
murcko_scaffold,ecfp4_knn,fold,1.0,classification,CYP3A4_is_TDI,MCC,0.3951388888888889,91,27.0,16.0
murcko_scaffold,ecfp4_knn,fold,1.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.9295527122821102,42,,
murcko_scaffold,ecfp4_knn,fold,1.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.8104016325313165,35,,
murcko_scaffold,ecfp4_knn,fold,1.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.1397226601200032,39,,
murcko_scaffold,ecfp4_knn,fold,1.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.9496710305265347,78,,
murcko_scaffold,ecfp4_lightgbm,fold,1.0,classification,CYP2D6_is_TDI,MCC,-0.12964074471043288,39,5.0,4.0
murcko_scaffold,ecfp4_lightgbm,fold,1.0,classification,CYP3A4_is_TDI,MCC,0.31539351851851855,91,27.0,27.0
murcko_scaffold,ecfp4_lightgbm,fold,1.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.908659702069173,42,,
murcko_scaffold,ecfp4_lightgbm,fold,1.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.6791796749731894,35,,
murcko_scaffold,ecfp4_lightgbm,fold,1.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.8058539552266972,39,,
murcko_scaffold,ecfp4_lightgbm,fold,1.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.6378931476726312,78,,
murcko_scaffold,ecfp4_random_forest,fold,1.0,classification,CYP2D6_is_TDI,MCC,-0.0891578689526865,39,5.0,2.0
murcko_scaffold,ecfp4_random_forest,fold,1.0,classification,CYP3A4_is_TDI,MCC,0.3535533905932738,91,27.0,13.0
murcko_scaffold,ecfp4_random_forest,fold,1.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.9074676152692166,42,,
murcko_scaffold,ecfp4_random_forest,fold,1.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.7880346366817553,35,,
murcko_scaffold,ecfp4_random_forest,fold,1.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.8128347318097042,39,,
murcko_scaffold,ecfp4_random_forest,fold,1.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.9262763487379237,78,,
murcko_scaffold,endpoint_mean,fold,1.0,classification,CYP2D6_is_TDI,MCC,0.0,39,5.0,0.0
murcko_scaffold,endpoint_mean,fold,1.0,classification,CYP3A4_is_TDI,MCC,0.0,91,27.0,0.0
murcko_scaffold,endpoint_mean,fold,1.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,1.0115006195545035,42,,
murcko_scaffold,endpoint_mean,fold,1.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.05494618068541,35,,
murcko_scaffold,endpoint_mean,fold,1.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.0709942731076214,39,,
murcko_scaffold,endpoint_mean,fold,1.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.229465795533323,78,,
murcko_scaffold,endpoint_median,fold,1.0,classification,CYP2D6_is_TDI,MCC,0.0,39,5.0,0.0
murcko_scaffold,endpoint_median,fold,1.0,classification,CYP3A4_is_TDI,MCC,0.0,91,27.0,0.0
murcko_scaffold,endpoint_median,fold,1.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.9945731643494801,42,,
murcko_scaffold,endpoint_median,fold,1.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.0260491018766924,35,,
murcko_scaffold,endpoint_median,fold,1.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.1132008638967974,39,,
murcko_scaffold,endpoint_median,fold,1.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.1086819405988386,78,,
murcko_scaffold,ecfp4_knn,fold,2.0,classification,CYP2D6_is_TDI,MCC,0.2532520925696209,36,5.0,2.0
murcko_scaffold,ecfp4_knn,fold,2.0,classification,CYP3A4_is_TDI,MCC,0.20482736014751582,89,27.0,24.0
murcko_scaffold,ecfp4_knn,fold,2.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.9982939931883323,37,,
murcko_scaffold,ecfp4_knn,fold,2.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.9015926013887517,35,,
murcko_scaffold,ecfp4_knn,fold,2.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.1151401592130645,36,,
murcko_scaffold,ecfp4_knn,fold,2.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.8711969152681753,72,,
murcko_scaffold,ecfp4_lightgbm,fold,2.0,classification,CYP2D6_is_TDI,MCC,-0.06788442333021306,36,5.0,1.0
murcko_scaffold,ecfp4_lightgbm,fold,2.0,classification,CYP3A4_is_TDI,MCC,0.3193299895632819,89,27.0,35.0
murcko_scaffold,ecfp4_lightgbm,fold,2.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.6846906209778947,37,,
murcko_scaffold,ecfp4_lightgbm,fold,2.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.7430593221186343,35,,
murcko_scaffold,ecfp4_lightgbm,fold,2.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.9599054331905916,36,,
murcko_scaffold,ecfp4_lightgbm,fold,2.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.7132917786726026,72,,
murcko_scaffold,ecfp4_random_forest,fold,2.0,classification,CYP2D6_is_TDI,MCC,0.0,36,5.0,0.0
murcko_scaffold,ecfp4_random_forest,fold,2.0,classification,CYP3A4_is_TDI,MCC,0.21536116905434258,89,27.0,18.0
murcko_scaffold,ecfp4_random_forest,fold,2.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.7583135041112739,37,,
murcko_scaffold,ecfp4_random_forest,fold,2.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.8233741153801437,35,,
murcko_scaffold,ecfp4_random_forest,fold,2.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.9533919764168004,36,,
murcko_scaffold,ecfp4_random_forest,fold,2.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.8351746190588832,72,,
murcko_scaffold,endpoint_mean,fold,2.0,classification,CYP2D6_is_TDI,MCC,0.0,36,5.0,0.0
murcko_scaffold,endpoint_mean,fold,2.0,classification,CYP3A4_is_TDI,MCC,0.0,89,27.0,0.0
murcko_scaffold,endpoint_mean,fold,2.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,1.0305908742658105,37,,
murcko_scaffold,endpoint_mean,fold,2.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.0444628464737062,35,,
murcko_scaffold,endpoint_mean,fold,2.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.9915556331580955,36,,
murcko_scaffold,endpoint_mean,fold,2.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.1318110188109234,72,,
murcko_scaffold,endpoint_median,fold,2.0,classification,CYP2D6_is_TDI,MCC,0.0,36,5.0,0.0
murcko_scaffold,endpoint_median,fold,2.0,classification,CYP3A4_is_TDI,MCC,0.0,89,27.0,0.0
murcko_scaffold,endpoint_median,fold,2.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.9601049054226622,37,,
murcko_scaffold,endpoint_median,fold,2.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.002606563945177,35,,
murcko_scaffold,endpoint_median,fold,2.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.001272138281434,36,,
murcko_scaffold,endpoint_median,fold,2.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.0406250622793691,72,,
murcko_scaffold,ecfp4_knn,fold,3.0,classification,CYP2D6_is_TDI,MCC,0.1111111111111111,30,6.0,3.0
murcko_scaffold,ecfp4_knn,fold,3.0,classification,CYP3A4_is_TDI,MCC,0.3850113456896734,101,31.0,24.0
murcko_scaffold,ecfp4_knn,fold,3.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.8044339843546099,29,,
murcko_scaffold,ecfp4_knn,fold,3.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.2944832108489563,31,,
murcko_scaffold,ecfp4_knn,fold,3.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.8776009356329348,30,,
murcko_scaffold,ecfp4_knn,fold,3.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.9131186813242425,84,,
murcko_scaffold,ecfp4_lightgbm,fold,3.0,classification,CYP2D6_is_TDI,MCC,0.294174202707276,30,6.0,4.0
murcko_scaffold,ecfp4_lightgbm,fold,3.0,classification,CYP3A4_is_TDI,MCC,0.47422860680873674,101,31.0,37.0
murcko_scaffold,ecfp4_lightgbm,fold,3.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.6558435484609477,29,,
murcko_scaffold,ecfp4_lightgbm,fold,3.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.9401496720086738,31,,
murcko_scaffold,ecfp4_lightgbm,fold,3.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.8009163011804893,30,,
murcko_scaffold,ecfp4_lightgbm,fold,3.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.5896334871075636,84,,
murcko_scaffold,ecfp4_random_forest,fold,3.0,classification,CYP2D6_is_TDI,MCC,0.1111111111111111,30,6.0,3.0
murcko_scaffold,ecfp4_random_forest,fold,3.0,classification,CYP3A4_is_TDI,MCC,0.4167865554456104,101,31.0,16.0
murcko_scaffold,ecfp4_random_forest,fold,3.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.6705823715337419,29,,
murcko_scaffold,ecfp4_random_forest,fold,3.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.0429938499187892,31,,
murcko_scaffold,ecfp4_random_forest,fold,3.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.7492325876517353,30,,
murcko_scaffold,ecfp4_random_forest,fold,3.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.7779782114999615,84,,
murcko_scaffold,endpoint_mean,fold,3.0,classification,CYP2D6_is_TDI,MCC,0.0,30,6.0,0.0
murcko_scaffold,endpoint_mean,fold,3.0,classification,CYP3A4_is_TDI,MCC,0.0,101,31.0,0.0
murcko_scaffold,endpoint_mean,fold,3.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.9490125232899409,29,,
murcko_scaffold,endpoint_mean,fold,3.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.0991038122634806,31,,
murcko_scaffold,endpoint_mean,fold,3.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.0300291027553357,30,,
murcko_scaffold,endpoint_mean,fold,3.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.1472006613780714,84,,
murcko_scaffold,endpoint_median,fold,3.0,classification,CYP2D6_is_TDI,MCC,0.0,30,6.0,0.0
murcko_scaffold,endpoint_median,fold,3.0,classification,CYP3A4_is_TDI,MCC,0.0,101,31.0,0.0
murcko_scaffold,endpoint_median,fold,3.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.8917126289121745,29,,
murcko_scaffold,endpoint_median,fold,3.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.0613661032390482,31,,
murcko_scaffold,endpoint_median,fold,3.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.0588002168924626,30,,
murcko_scaffold,endpoint_median,fold,3.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.0459928426553904,84,,
murcko_scaffold,ecfp4_knn,fold,4.0,classification,CYP2D6_is_TDI,MCC,0.28234621965789103,39,7.0,4.0
murcko_scaffold,ecfp4_knn,fold,4.0,classification,CYP3A4_is_TDI,MCC,0.1869225302061123,88,21.0,21.0
murcko_scaffold,ecfp4_knn,fold,4.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.942314673718115,44,,
murcko_scaffold,ecfp4_knn,fold,4.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.1795171528685837,30,,
murcko_scaffold,ecfp4_knn,fold,4.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.026451854717503,39,,
murcko_scaffold,ecfp4_knn,fold,4.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.718446972175427,72,,
murcko_scaffold,ecfp4_lightgbm,fold,4.0,classification,CYP2D6_is_TDI,MCC,0.3561268014363686,39,7.0,6.0
murcko_scaffold,ecfp4_lightgbm,fold,4.0,classification,CYP3A4_is_TDI,MCC,0.2802095182824005,88,21.0,26.0
murcko_scaffold,ecfp4_lightgbm,fold,4.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.8416589646420367,44,,
murcko_scaffold,ecfp4_lightgbm,fold,4.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.8472801584322398,30,,
murcko_scaffold,ecfp4_lightgbm,fold,4.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.9329136168149088,39,,
murcko_scaffold,ecfp4_lightgbm,fold,4.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.47262954520243655,72,,
murcko_scaffold,ecfp4_random_forest,fold,4.0,classification,CYP2D6_is_TDI,MCC,-0.07587212233336049,39,7.0,1.0
murcko_scaffold,ecfp4_random_forest,fold,4.0,classification,CYP3A4_is_TDI,MCC,0.13121860808625985,88,21.0,17.0
murcko_scaffold,ecfp4_random_forest,fold,4.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.7787750076049835,44,,
murcko_scaffold,ecfp4_random_forest,fold,4.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.8857429588107204,30,,
murcko_scaffold,ecfp4_random_forest,fold,4.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.9185347626021916,39,,
murcko_scaffold,ecfp4_random_forest,fold,4.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.7301947529231569,72,,
murcko_scaffold,endpoint_mean,fold,4.0,classification,CYP2D6_is_TDI,MCC,0.0,39,7.0,0.0
murcko_scaffold,endpoint_mean,fold,4.0,classification,CYP3A4_is_TDI,MCC,0.0,88,21.0,0.0
murcko_scaffold,endpoint_mean,fold,4.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.9902800693964908,44,,
murcko_scaffold,endpoint_mean,fold,4.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.1031614993052146,30,,
murcko_scaffold,endpoint_mean,fold,4.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.9944206585996811,39,,
murcko_scaffold,endpoint_mean,fold,4.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.1755137819968993,72,,
murcko_scaffold,endpoint_median,fold,4.0,classification,CYP2D6_is_TDI,MCC,0.0,39,7.0,0.0
murcko_scaffold,endpoint_median,fold,4.0,classification,CYP3A4_is_TDI,MCC,0.0,88,21.0,0.0
murcko_scaffold,endpoint_median,fold,4.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,1.0044186999128109,44,,
murcko_scaffold,endpoint_median,fold,4.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.0694908666540672,30,,
murcko_scaffold,endpoint_median,fold,4.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.0002725929626817,39,,
murcko_scaffold,endpoint_median,fold,4.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.0765551368365842,72,,
murcko_scaffold,ecfp4_knn,fold,0.0,regression,MA,MA-ST-RAE,1.1528159560248463,165,,
murcko_scaffold,ecfp4_knn,fold,1.0,regression,MA,MA-ST-RAE,0.9573370088649911,194,,
murcko_scaffold,ecfp4_knn,fold,2.0,regression,MA,MA-ST-RAE,0.9715559172645809,180,,
murcko_scaffold,ecfp4_knn,fold,3.0,regression,MA,MA-ST-RAE,0.9724092030401859,174,,
murcko_scaffold,ecfp4_knn,fold,4.0,regression,MA,MA-ST-RAE,0.9666826633699072,185,,
murcko_scaffold,ecfp4_knn,pooled,,regression,MA,MA-ST-RAE,0.9939701779072188,898,,
murcko_scaffold,ecfp4_lightgbm,fold,0.0,regression,MA,MA-ST-RAE,0.8552834667502288,165,,
murcko_scaffold,ecfp4_lightgbm,fold,1.0,regression,MA,MA-ST-RAE,0.7578966199854227,194,,
murcko_scaffold,ecfp4_lightgbm,fold,2.0,regression,MA,MA-ST-RAE,0.7752367887399308,180,,
murcko_scaffold,ecfp4_lightgbm,fold,3.0,regression,MA,MA-ST-RAE,0.7466357521894187,174,,
murcko_scaffold,ecfp4_lightgbm,fold,4.0,regression,MA,MA-ST-RAE,0.7736205712729054,185,,
murcko_scaffold,ecfp4_lightgbm,pooled,,regression,MA,MA-ST-RAE,0.7837864368476123,898,,
murcko_scaffold,ecfp4_random_forest,fold,0.0,regression,MA,MA-ST-RAE,0.9279858925929757,165,,
murcko_scaffold,ecfp4_random_forest,fold,1.0,regression,MA,MA-ST-RAE,0.85865333312465,194,,
murcko_scaffold,ecfp4_random_forest,fold,2.0,regression,MA,MA-ST-RAE,0.8425635537417753,180,,
murcko_scaffold,ecfp4_random_forest,fold,3.0,regression,MA,MA-ST-RAE,0.810196755151057,174,,
murcko_scaffold,ecfp4_random_forest,fold,4.0,regression,MA,MA-ST-RAE,0.828311870485263,185,,
murcko_scaffold,ecfp4_random_forest,pooled,,regression,MA,MA-ST-RAE,0.8525982072656207,898,,
murcko_scaffold,endpoint_mean,fold,0.0,regression,MA,MA-ST-RAE,1.1464490804624756,165,,
murcko_scaffold,endpoint_mean,fold,1.0,regression,MA,MA-ST-RAE,1.0917267172202145,194,,
murcko_scaffold,endpoint_mean,fold,2.0,regression,MA,MA-ST-RAE,1.049605093177134,180,,
murcko_scaffold,endpoint_mean,fold,3.0,regression,MA,MA-ST-RAE,1.0563365249217072,174,,
murcko_scaffold,endpoint_mean,fold,4.0,regression,MA,MA-ST-RAE,1.0658440023245714,185,,
murcko_scaffold,endpoint_mean,pooled,,regression,MA,MA-ST-RAE,1.07689217578364,898,,
murcko_scaffold,endpoint_median,fold,0.0,regression,MA,MA-ST-RAE,1.0686243202866375,165,,
murcko_scaffold,endpoint_median,fold,1.0,regression,MA,MA-ST-RAE,1.060626267680452,194,,
murcko_scaffold,endpoint_median,fold,2.0,regression,MA,MA-ST-RAE,1.0011521674821606,180,,
murcko_scaffold,endpoint_median,fold,3.0,regression,MA,MA-ST-RAE,1.0144679479247691,174,,
murcko_scaffold,endpoint_median,fold,4.0,regression,MA,MA-ST-RAE,1.0376843240915359,185,,
murcko_scaffold,endpoint_median,pooled,,regression,MA,MA-ST-RAE,1.0354341583029605,898,,
family,ecfp4_knn,pooled,,classification,CYP2D6_is_TDI,MCC,0.1234923482566684,177,29.0,12.0
family,ecfp4_knn,pooled,,classification,CYP3A4_is_TDI,MCC,0.2737834992198222,459,133.0,104.0
family,ecfp4_knn,pooled,,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,1.0255612642588638,181,,
family,ecfp4_knn,pooled,,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.0761016165844168,159,,
family,ecfp4_knn,pooled,,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.0138500755121345,177,,
family,ecfp4_knn,pooled,,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.8544358164305406,381,,
family,ecfp4_lightgbm,pooled,,classification,CYP2D6_is_TDI,MCC,0.1921001405554262,177,29.0,23.0
family,ecfp4_lightgbm,pooled,,classification,CYP3A4_is_TDI,MCC,0.2270501046724597,459,133.0,139.0
family,ecfp4_lightgbm,pooled,,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.8046055130348218,181,,
family,ecfp4_lightgbm,pooled,,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.8240902435501912,159,,
family,ecfp4_lightgbm,pooled,,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.8940351743385182,177,,
family,ecfp4_lightgbm,pooled,,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.6766055377628409,381,,
family,ecfp4_random_forest,pooled,,classification,CYP2D6_is_TDI,MCC,-0.0673093017553773,177,29.0,4.0
family,ecfp4_random_forest,pooled,,classification,CYP3A4_is_TDI,MCC,0.2839299398024331,459,133.0,48.0
family,ecfp4_random_forest,pooled,,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.7957588557953752,181,,
family,ecfp4_random_forest,pooled,,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.9067677174799468,159,,
family,ecfp4_random_forest,pooled,,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.8760881806843767,177,,
family,ecfp4_random_forest,pooled,,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.875523180774673,381,,
family,endpoint_mean,pooled,,classification,CYP2D6_is_TDI,MCC,0.0,177,29.0,0.0
family,endpoint_mean,pooled,,classification,CYP3A4_is_TDI,MCC,0.0,459,133.0,0.0
family,endpoint_mean,pooled,,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,1.0127188788691652,181,,
family,endpoint_mean,pooled,,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.0979297961502497,159,,
family,endpoint_mean,pooled,,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.0236995460184148,177,,
family,endpoint_mean,pooled,,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.1767671544372678,381,,
family,endpoint_median,pooled,,classification,CYP2D6_is_TDI,MCC,0.0,177,29.0,0.0
family,endpoint_median,pooled,,classification,CYP3A4_is_TDI,MCC,0.0,459,133.0,0.0
family,endpoint_median,pooled,,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.9699796552969648,181,,
family,endpoint_median,pooled,,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.061343095583433,159,,
family,endpoint_median,pooled,,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.0425511460181514,177,,
family,endpoint_median,pooled,,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.0728340077272482,381,,
family,ecfp4_knn,fold,0.0,classification,CYP2D6_is_TDI,MCC,-0.1120035841720411,38,7.0,2.0
family,ecfp4_knn,fold,0.0,classification,CYP3A4_is_TDI,MCC,0.229910208858573,86,25.0,30.0
family,ecfp4_knn,fold,0.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,1.0282868103733351,43,,
family,ecfp4_knn,fold,0.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.1988791165890331,28,,
family,ecfp4_knn,fold,0.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.2024173812677486,38,,
family,ecfp4_knn,fold,0.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.9048644419051513,74,,
family,ecfp4_lightgbm,fold,0.0,classification,CYP2D6_is_TDI,MCC,0.0582104127717333,38,7.0,4.0
family,ecfp4_lightgbm,fold,0.0,classification,CYP3A4_is_TDI,MCC,0.347877981768634,86,25.0,42.0
family,ecfp4_lightgbm,fold,0.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.8917516826508363,43,,
