split_scheme,model,scope,fold,task,endpoint,metric,value,n,positives_true,positives_predicted
random,endpoint_mean,fold,0.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.1529869033086282,68,,
random,endpoint_median,fold,0.0,classification,CYP2D6_is_TDI,MCC,0.0,40,9.0,0.0
random,endpoint_median,fold,0.0,classification,CYP3A4_is_TDI,MCC,0.0,86,25.0,0.0
random,endpoint_median,fold,0.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.9807077171592055,46,,
random,endpoint_median,fold,0.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.9808898597358456,29,,
random,endpoint_median,fold,0.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.0122682094235014,40,,
random,endpoint_median,fold,0.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.0528746575200578,68,,
random,ecfp4_knn,fold,1.0,classification,CYP2D6_is_TDI,MCC,0.3032258064516129,36,5.0,5.0
random,ecfp4_knn,fold,1.0,classification,CYP3A4_is_TDI,MCC,0.42798249273131145,91,26.0,20.0
random,ecfp4_knn,fold,1.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.990618814445353,42,,
random,ecfp4_knn,fold,1.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.4650498061067583,30,,
random,ecfp4_knn,fold,1.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.7109473353260058,36,,
random,ecfp4_knn,fold,1.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.8352824099213356,75,,
random,ecfp4_lightgbm,fold,1.0,classification,CYP2D6_is_TDI,MCC,0.11359236684941296,36,5.0,4.0
random,ecfp4_lightgbm,fold,1.0,classification,CYP3A4_is_TDI,MCC,0.5205972583258042,91,26.0,31.0
random,ecfp4_lightgbm,fold,1.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.9258093988527796,42,,
random,ecfp4_lightgbm,fold,1.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.9651913681451215,30,,
random,ecfp4_lightgbm,fold,1.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.1368974522328013,36,,
random,ecfp4_lightgbm,fold,1.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.5468316997902078,75,,
random,ecfp4_random_forest,fold,1.0,classification,CYP2D6_is_TDI,MCC,-0.06788442333021306,36,5.0,1.0
random,ecfp4_random_forest,fold,1.0,classification,CYP3A4_is_TDI,MCC,0.4531404388376097,91,26.0,19.0
random,ecfp4_random_forest,fold,1.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.9448778743381258,42,,
random,ecfp4_random_forest,fold,1.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.0214239887964855,30,,
random,ecfp4_random_forest,fold,1.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.0654981116757565,36,,
random,ecfp4_random_forest,fold,1.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.6933553845519048,75,,
random,endpoint_mean,fold,1.0,classification,CYP2D6_is_TDI,MCC,0.0,36,5.0,0.0
random,endpoint_mean,fold,1.0,classification,CYP3A4_is_TDI,MCC,0.0,91,26.0,0.0
random,endpoint_mean,fold,1.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,1.0178106676244851,42,,
random,endpoint_mean,fold,1.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.156740333586748,30,,
random,endpoint_mean,fold,1.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.9995160873745995,36,,
random,endpoint_mean,fold,1.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.1026235971156828,75,,
random,endpoint_median,fold,1.0,classification,CYP2D6_is_TDI,MCC,0.0,36,5.0,0.0
random,endpoint_median,fold,1.0,classification,CYP3A4_is_TDI,MCC,0.0,91,26.0,0.0
random,endpoint_median,fold,1.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.9778370729983642,42,,
random,endpoint_median,fold,1.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.1030779278462763,30,,
random,endpoint_median,fold,1.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.9799058642064514,36,,
random,endpoint_median,fold,1.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.022942459550397,75,,
random,ecfp4_knn,fold,2.0,classification,CYP2D6_is_TDI,MCC,0.2532520925696209,36,5.0,2.0
random,ecfp4_knn,fold,2.0,classification,CYP3A4_is_TDI,MCC,0.404347412707806,92,20.0,18.0
random,ecfp4_knn,fold,2.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,1.0399461934455194,25,,
random,ecfp4_knn,fold,2.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.2249340135074969,31,,
random,ecfp4_knn,fold,2.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.9757850286663138,36,,
random,ecfp4_knn,fold,2.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.8774845220642224,70,,
random,ecfp4_lightgbm,fold,2.0,classification,CYP2D6_is_TDI,MCC,0.11359236684941296,36,5.0,4.0
random,ecfp4_lightgbm,fold,2.0,classification,CYP3A4_is_TDI,MCC,0.2813767351141385,92,20.0,28.0
random,ecfp4_lightgbm,fold,2.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.9549879476049502,25,,
random,ecfp4_lightgbm,fold,2.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.8668804465898636,31,,
random,ecfp4_lightgbm,fold,2.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.8789401929371153,36,,
